Name,Link,Latitude,Longitude
Easton - Bowness on Solway,https://www.pick-a-trek.it/sentieri/2018-08-21-Stage_8_Da_Easton_a_Bowness_on_Solway/,54.926408,-3.1491328
Park Broom - Easton,https://www.pick-a-trek.it/sentieri/2018-08-20-Stage_7_Da_Park_Broom_a_Easton/,54.9276058,-2.8644896
Gilsland - Park Broom,https://www.pick-a-trek.it/sentieri/2018-08-19-Stage_6_Da_Gilsland_a_Park_Broom/,54.9920209,-2.5729406
Once Brewed - Gilsland,https://www.pick-a-trek.it/sentieri/2018-08-18-Stage_5_Da_Once_Brewed_a_Gilsland/,54.9962756,-2.3893788
Wall - Once Brewed,https://www.pick-a-trek.it/sentieri/2018-08-17-Stage_4_Da_Wall_a_Once_Brewed/,55.031116,-2.1283485
Wylam - Wall,https://www.pick-a-trek.it/sentieri/2018-08-16-Stage_3_Da_Wylam_a_Wall/,54.9808661,-1.819597
Newcastle Central Station - Wylan,https://www.pick-a-trek.it/sentieri/2018-08-15-Stage_2_Da_Newcastle_Central_Station_a_Wylan/,54.9689705,-1.6176476
South Shield - Newcastle Central Station,https://www.pick-a-trek.it/sentieri/2018-08-14-Stage_1_Da_South_Shield_a_Newcastle_Central_Station/,54.9757853,-1.5979321
